店铺名字,类别,id,月销售,经度,纬度
royltea皇茶(丰华店),奶茶果汁,E1778780331767320913,209,113.074944,22.872814
邂逅你休闲驿站,奶茶果汁,E6613167943219403365,52,113.075089,22.874722
韦爵爷,奶茶果汁,E5291438955895864401,68,113.074069,22.866836
冧茶(龙江店),奶茶果汁,E13480898050579367141,63,113.0798,22.884852
看星星的熊,奶茶果汁,E13972273370761704498,0,113.078483,22.874942
初心,奶茶果汁,E11987407417101508064,441,113.06729,22.875422
猫九巷茶,奶茶果汁,E10904777143372616101,600,113.058409,22.883676
茶鲜果,奶茶果汁,E12868352232069494793,42,113.071285,22.888096
茶一巷茶饮小吃(乐的店),奶茶果汁,E1878178225580766063,789,113.086361,22.95948
鲜柠王子(乐从店),奶茶果汁,E4511095905324064300,42,113.085017,22.959207
午后街角(叮叮美食市集店),奶茶果汁,E11525299919989596018,18,113.085157,22.959017
GOOD TEA 古の茶,奶茶果汁,E9779422287288465075,10,113.085745,22.9591
赏悦咖啡,奶茶果汁,E17944503672732955051,13,113.093852,22.95267
茶皇,奶茶果汁,E2470688112017071723,0,113.091774,22.957753
闺蜜家,奶茶果汁,E7642038293853948340,144,113.082297,22.960006
雅岛贡茶,奶茶果汁,E8285094974005735339,38,113.084828,22.95838
六茶LUCKYCHA,奶茶果汁,E3051276179502688062,37,113.089773,22.954378
叙脚点(乐从店),奶茶果汁,E3129304561170314978,14,113.08363,22.960017
尊茶(风度广场店),奶茶果汁,E6440985839367129085,62,113.082717,22.950355
王者语茶,奶茶果汁,E6535997705709830112,110,113.051415,23.023308
皇茶(朗沙国际批发市场店),奶茶果汁,E12382658833451737841,156,113.062783,23.044651
茶香园饮吧,奶茶果汁,E16981187964122687330,85,113.055807,23.024526
呵呵茶,奶茶果汁,E12970405571328949586,100,113.061049,23.025997
teastory皇茶,奶茶果汁,E1356643531654451608,44,113.060523,23.010211
情缘奶茶(下朗店),奶茶果汁,E7832188228415478653,35,113.063721,23.040663
大台北茶饮,奶茶果汁,E5733936556734795776,33,113.097486,23.03517
蓝樽茶缘·风味奶茶饮品,奶茶果汁,E1181860830784505903,99,113.092271,23.037391
大汇糖,奶茶果汁,E681819991703147625,22,113.064861,23.031702
百味密码（金盛广场店）,奶茶果汁,E14318734666198105335,24,113.053078,23.057176
思仪茶饮,奶茶果汁,E6777944436343390849,74,113.075232,23.103651
小茶印象(名汇浩湖湾店),奶茶果汁,E16614810113901525895,48,113.060604,23.102478
爱约奶茶甜品（松岗店）,奶茶果汁,E5519481159221922723,108,113.103954,23.140416
HERE 哩渡cafe,奶茶果汁,E3574878627587375237,61,113.103696,23.13907
悟茶,奶茶果汁,E9970129533252465041,37,113.077548,23.222973
夏日午后,奶茶果汁,E15125935006346162771,27,113.085258,23.227374
星冰乐,奶茶果汁,E1562691328820234115,23,113.084499,23.229594
seenow细佬茶室(龙江沙富店),奶茶果汁,E6480804778111963891,129,113.068343,22.860451
手控茶,奶茶果汁,E14123306837753261114,21,113.090444,22.860157
满意答案,奶茶果汁,E609958996262323287,170,113.077484,22.871984
贝特优美,奶茶果汁,E11868113639349824048,36,113.073056,22.867944
