,店铺名字,类别,poiid,ctPoi,经度,纬度
106,Darling咑柠茶档（北京路旗舰店）,奶茶/果汁,175465767,032993311645349738152990596470664416460_a175465767_c1_e1923838007788648037_nareaid23,23.125306,113.269316
107,一些柠檬一些茶（北京路步行街店）,奶茶/果汁,179934532,032993311645349738152990596470664416460_a179934532_c2_e1923838007788648037_nareaid23,23.120958,113.266198
108,春阳茶事（北京路店）,奶茶/果汁,192084998,032993311645349738152990596470664416460_a192084998_c3_e1923838007788648037_nareaid23,23.121263,113.266727
109,TANING挞柠·匠心柠檬茶（文明路店）,奶茶/果汁,193627015,032993311645349738152990596470664416460_a193627015_c4_e1923838007788648037_nareaid23,23.122527,113.270772
110,鲜茶道MOLYTEA（解放北路店）,奶茶/果汁,105919570,032993311645349738152990596470664416460_a105919570_c5_e1923838007788648037_nareaid23,23.137148,113.261594
111,TANING挞柠·柠檬茶（动漫星城店）,奶茶/果汁,177937738,032993311645349738152990596470664416460_a177937738_c6_e1923838007788648037_nareaid23,23.125783,113.263728
112,全民果汁（北京路仰忠汇店）,奶茶/果汁,112291194,032993311645349738152990596470664416460_a112291194_c7_e1923838007788648037_nareaid23,23.119645,113.269771
113,茶颜观色（粤海仰忠汇店）,奶茶/果汁,182585705,032993311645349738152990596470664416460_a182585705_c8_e1923838007788648037_nareaid23,23.119408,113.269854
114,清心堂草本茶（北京路店）,凉茶,175334661,032993311645349738152990596470664416460_a175334661_c9_e1923838007788648037_nareaid23,23.127347,113.268714
115,橘菓子（动漫店）,奶茶/果汁,1708784,032993311645349738152990596470664416460_a1708784_c10_e1923838007788648037_nareaid23,23.125792,113.264989
116,CoCo都可（动漫二店）,奶茶/果汁,193618099,032993311645349738152990596470664416460_a193618099_c11_e1923838007788648037_nareaid23,23.12573,113.26499
117,香港鸳鸯王（西湖路店）,奶茶/果汁,19214,032993311645349738152990596470664416460_a19214_c12_e1923838007788648037_nareaid23,23.123351,113.266927
118,黎恩凉茶（北京路店）,凉茶,162818706,032993311645349738152990596470664416460_a162818706_c13_e1923838007788648037_nareaid23,23.120201,113.269202
119,一些柠檬一些茶（百灵路店）,奶茶/果汁,179261654,032993311645349738152990596470664416460_a179261654_c14_e1923838007788648037_nareaid23,23.13061,113.259369
120,整个椰子（惠福东路店）,奶茶/果汁,193796788,032993311645349738152990596470664416460_a193796788_c0_e6388992031725125180_nareaid23,23.121599,113.268801
121,扭扭柠柠（北京路店）,奶茶/果汁,168999892,032993311645349738152990596470664416460_a168999892_c1_e6388992031725125180_nareaid23,23.119238,113.269895
122,茶优语,奶茶/果汁,187733086,032993311645349738152990596470664416460_a187733086_c2_e6388992031725125180_nareaid23,23.125413,113.25677
123,红茶馆,奶茶/果汁,178833887,032993311645349738152990596470664416460_a178833887_c3_e6388992031725125180_nareaid23,23.119601,113.270047
124,1柠1柠檬茶 （解放南店）,奶茶/果汁,192997635,032993311645349738152990596470664416460_a192997635_c4_e6388992031725125180_nareaid23,23.117453,113.262272
125,TEA DIVA饭团·茶饮,奶茶/果汁,168873753,032993311645349738152990596470664416460_a168873753_c5_e6388992031725125180_nareaid23,23.119645,113.269771
126,TANING挞柠匠心柠檬茶（西华路店）,奶茶/果汁,177406476,032993311645349738152990596470664416460_a177406476_c6_e6388992031725125180_nareaid23,23.129929,113.251584
127,木上缤菓（北京路店）,冰淇淋,166015644,032993311645349738152990596470664416460_a166015644_c7_e6388992031725125180_nareaid23,23.119375,113.269824
128,CoCo都可（惠福店）,奶茶/果汁,83687585,032993311645349738152990596470664416460_a83687585_c8_e6388992031725125180_nareaid23,23.121061,113.26666
129,新作の茶 SUN TEA（惠福东路店）,奶茶/果汁,193641027,032993311645349738152990596470664416460_a193641027_c9_e6388992031725125180_nareaid23,23.121156,113.267685
130,CoCo都可（大北店）,奶茶/果汁,159885258,032993311645349738152990596470664416460_a159885258_c10_e6388992031725125180_nareaid23,23.131061,113.261302
131,Hitea茶室（文德路店）,奶茶/果汁,177479021,032993311645349738152990596470664416460_a177479021_c11_e6388992031725125180_nareaid23,23.12484,113.272779
132,Pappa Roti 帕帕罗蒂（万菱广场店）,西餐,4557150,032993311645349738152990596470664416460_a4557150_c12_e6388992031725125180_nareaid23,23.11451,113.26272
133,太平洋咖啡（解放北路店）,咖啡厅,178858917,032993311645349738152990596470664416460_a178858917_c13_e6388992031725125180_nareaid23,23.136857,113.262053
134,全民果汁（西湖路店）,奶茶/果汁,154959661,032993311645349738152990596470664416460_a154959661_c14_e6388992031725125180_nareaid23,23.12326,113.267542
135,CoCo都可（北京路步行街店）,奶茶/果汁,182416911,032993311645349738152990596470664416460_a182416911_c0_e5635874423503391867_nareaid23,23.1213,113.268315
136,么咪喵猫主题咖啡,咖啡厅,42682665,032993311645349738152990596470664416460_a42682665_c1_e5635874423503391867_nareaid23,23.120343,113.267944
137,一些柠檬一些茶（百灵路店）,奶茶/果汁,179261654,032993311645349738152990596470664416460_a179261654_c2_e5635874423503391867_nareaid23,23.13061,113.259369
138,联合书店·UN Bookcafe（北京路店）,咖啡厅,5856952,032993311645349738152990596470664416460_a5856952_c3_e5635874423503391867_nareaid23,23.124766,113.269011
139,CoCo都可（动漫店）,奶茶/果汁,60800181,032993311645349738152990596470664416460_a60800181_c4_e5635874423503391867_nareaid23,23.125776,113.265071
140,黑泷堂,奶茶/果汁,169470583,032993311645349738152990596470664416460_a169470583_c5_e5635874423503391867_nareaid23,23.122938,113.265635
141,壹柒零-台湾冬瓜奶茶（文明路店）,奶茶/果汁,158747034,032993311645349738152990596470664416460_a158747034_c6_e5635874423503391867_nareaid23,23.122143,113.270739
142,木上缤菓（北京路店）,冰淇淋,166015644,032993311645349738152990596470664416460_a166015644_c7_e5635874423503391867_nareaid23,23.119375,113.269824
143,太平洋咖啡Pacific Coffee（东风西店）,咖啡厅,90872962,032993311645349738152990596470664416460_a90872962_c8_e5635874423503391867_nareaid23,23.13263,113.251992
144,一些柠檬一些茶（西华路店）,奶茶/果汁,165441891,032993311645349738152990596470664416460_a165441891_c9_e5635874423503391867_nareaid23,23.13004,113.251449
145,太平洋咖啡（大德路店）,咖啡厅,82810709,032993311645349738152990596470664416460_a82810709_c10_e5635874423503391867_nareaid23,23.117496,113.257083
146,橘菓子（动漫店）,奶茶/果汁,1708784,032993311645349738152990596470664416460_a1708784_c11_e5635874423503391867_nareaid23,23.125792,113.264989
147,Pappa Roti 帕帕罗蒂（万菱广场店）,西餐,4557150,032993311645349738152990596470664416460_a4557150_c12_e5635874423503391867_nareaid23,23.11451,113.26272
148,太平洋咖啡（西门口店）,咖啡厅,1709678,032993311645349738152990596470664416460_a1709678_c13_e5635874423503391867_nareaid23,23.12559,113.25267
149,黎恩凉茶（净慧路店）,凉茶,179448631,032993311645349738152990596470664416460_a179448631_c14_e5635874423503391867_nareaid23,23.129762,113.258389
150,太平洋咖啡（大德路店）,咖啡厅,82810709,032993311645349738152990596470664416460_a82810709_c0_e8945947558201440894_nareaid23,23.117496,113.257083
151,联合书店·UN Bookcafe（北京路店）,咖啡厅,5856952,032993311645349738152990596470664416460_a5856952_c1_e8945947558201440894_nareaid23,23.124766,113.269011
152,一些柠檬一些茶（西华路店）,奶茶/果汁,165441891,032993311645349738152990596470664416460_a165441891_c2_e8945947558201440894_nareaid23,23.13004,113.251449
153,太平洋咖啡（西门口店）,咖啡厅,1709678,032993311645349738152990596470664416460_a1709678_c3_e8945947558201440894_nareaid23,23.12559,113.25267
154,黎恩凉茶（净慧路店）,凉茶,179448631,032993311645349738152990596470664416460_a179448631_c4_e8945947558201440894_nareaid23,23.129762,113.258389
155,黎恩凉茶（惠福西路店）,凉茶,4908132,032993311645349738152990596470664416460_a4908132_c5_e8945947558201440894_nareaid23,23.119888,113.260621
156,R.C.C.—红咖啡特饮,咖啡厅,165434713,032993311645349738152990596470664416460_a165434713_c6_e8945947558201440894_nareaid23,23.137344,113.28817
157,黎恩凉茶（广卫路店）,凉茶,42187182,032993311645349738152990596470664416460_a42187182_c7_e8945947558201440894_nareaid23,23.127194,113.265623
158,小确茶（东川路店）,奶茶/果汁,178301740,032993311645349738152990596470664416460_a178301740_c8_e8945947558201440894_nareaid23,23.12108,113.286241
159,TVB港式奶茶,奶茶/果汁,165242237,032993311645349738152990596470664416460_a165242237_c9_e8945947558201440894_nareaid23,23.12576,113.264989
160,los pasteles,奶茶/果汁,1341603491,032993311645349738152990596470664416460_a1341603491_c10_e8945947558201440894_nareaid23,23.125811,113.313751
161,大卡司（海珠广场店）,奶茶/果汁,6117257,032993311645349738152990596470664416460_a6117257_c11_e8945947558201440894_nareaid23,23.115376,113.264856
162,猫屎咖啡（淘金店）,咖啡厅,41836194,032993311645349738152990596470664416460_a41836194_c12_e8945947558201440894_nareaid23,23.139238,113.287559
163,皇茶宇治抹茶（仰忠汇店）,奶茶/果汁,92880731,032993311645349738152990596470664416460_a92880731_c13_e8945947558201440894_nareaid23,23.119626,113.270187
