店铺名字,类别,月销售,经度,纬度,
钓鱼岛饮吧,奶茶果汁,17,113.834612,23.017948,
0赤道,奶茶果汁,0,113.846097,23.286134,
1017花田豆花,奶茶果汁,42,114.290477,23.170946,
101の茶,奶茶果汁,113,113.946665,22.758422,
101茶坊,奶茶果汁,8,114.063491,22.658623,
1314一杯会说话的奶茶,奶茶果汁,21,114.124816,22.683911,
1314一杯会说话的奶茶(万丰店),奶茶果汁,7,113.8259676,22.72179723,1.16358E+19
1314一杯会说话的茶,奶茶果汁,1,114.137305,22.612063,
1314一杯会说话的茶,奶茶果汁,45,113.924162,22.673124,
1314一杯会说话的茶,奶茶果汁,49,113.878133,23.070438,
1314一杯会说话的茶,奶茶果汁,6,114.024675,22.535847,
1314一杯会说话的茶(固戍二路店),奶茶果汁,2,113.852626,22.602638,
1314一杯会说话的茶(观澜店),奶茶果汁,15,114.056994,22.71783,
1314奶茶店,奶茶果汁,18,113.995745,22.672644,
1314奶茶店一杯会说话的茶(中亚店),奶茶果汁,42,113.820804,22.742515,
15度茶铺(广隆店),奶茶果汁,82,114.087896,23.014259,
168奶茶咖啡,奶茶果汁,1,113.861965,23.130513,
1828王老吉（东莞塘厦店）,奶茶果汁,26,114.080162,22.809451,
1828王老吉（欢乐海岸店）,奶茶果汁,47,113.991163,22.524875,
1828王老吉（深圳科学园店）,奶茶果汁,79,113.944705,22.548926,
1866茶饮(横岗店),奶茶果汁,46,114.207801,22.64656,
1908饮品小吃店,奶茶果汁,33,113.901146,22.753955,
1987奶茶店,奶茶果汁,42,113.940881,23.088095,
1988时光小站(万丰中路店),奶茶果汁,3,113.8254,22.72183,
1989茶香阁,奶茶果汁,29,113.973951,23.133796,
1点点(下梅林地铁店),奶茶果汁,1624,114.04085,22.56474,
1点点(世界之窗店),奶茶果汁,3553,113.97309,22.53813,
1点点(南头店),奶茶果汁,2469,113.918908,22.535893,
1点点(双龙老街店),奶茶果汁,1695,114.27313,22.72969,
1点点(坂田彩生活时代广场店),奶茶果汁,2061,114.069731,22.656178,
1点点(坪洲地铁店),奶茶果汁,3675,113.86976,22.56943,
1点点(增城万达金街店),奶茶果汁,624,113.81599,23.27616,
1点点(大冲商务中心店),奶茶果汁,1341,113.951457,22.540951,
1点点(太白路店),奶茶果汁,2351,114.12813,22.57683,
1点点(布吉路店),奶茶果汁,4630,114.11741,22.6,
1点点(常兴路店),奶茶果汁,420,113.92072,22.53188,
1点点(彩世界店),奶茶果汁,512,114.142953,22.578973,
1点点(志健广场店),奶茶果汁,2902,114.20528,22.64653,
1点点(新华保险大厦店),奶茶果汁,612,114.05218,22.5381,
1点点(桂庙新村店),奶茶果汁,2514,113.93363,22.52535,
1点点(民治小学店),奶茶果汁,1562,114.039937,22.61932,
1点点(水库新村店),奶茶果汁,2418,114.138995,22.56513,
1点点(深职院店),奶茶果汁,1345,113.94991,22.58502,
1点点(湖贝地铁店),奶茶果汁,873,114.1256,22.5441,
1点点(牛栏前牌坊店),奶茶果汁,2838,114.03671,22.63349,
1点点(白石洲地铁店),奶茶果汁,983,113.96704,22.53875,
1点点(科苑香坊万豪广场店),奶茶果汁,526,113.950647,22.52504,
1点点(罗湖人才市场店),奶茶果汁,239,114.10886,22.56146,
1点点(草埔金稻田路店),奶茶果汁,848,114.11941,22.58423,
1点点(西丽北路店),奶茶果汁,2144,113.954814,22.577541,
1点点(西丽地铁站店),奶茶果汁,1052,113.952066,22.581201,
1点点(西乡流塘店),奶茶果汁,2939,113.888205,22.579456,
1点点(西乡流塘店),奶茶果汁,2965,113.888205,22.579456,
1点点(西乡盐田村店),奶茶果汁,916,113.86613,22.57588,
1点点(西乡金海路店),奶茶果汁,2566,113.86115,22.579512,
1点点(长龙地铁店),奶茶果汁,3936,114.11412,22.608215,
1点点(龙华水榭春天店),奶茶果汁,1576,114.025877,22.628934,
1点点(龙胜配件城店),奶茶果汁,2087,114.088817,22.543281,
1点点（下沙店）,奶茶果汁,1530,114.028923,22.52477,
1点点（东门中兴路店）,奶茶果汁,959,114.129876,22.550021,
1点点（东门新园路店）,奶茶果汁,260,114.116824,22.545591,
1点点（丰盛町店）,奶茶果汁,550,114.022406,22.535154,
1点点（五和地铁店）,奶茶果汁,2515,114.060923,22.623215,
1点点（五和长发店）,奶茶果汁,2278,114.060762,22.630257,
1点点（保利剧院店）,奶茶果汁,1185,113.937643,22.516857,
1点点（保利剧院店）,奶茶果汁,1191,113.937643,22.516857,
1点点（储能大厦店）,奶茶果汁,647,113.944862,22.537973,
1点点（兴华二路店）,奶茶果汁,631,113.903796,22.563164,
1点点（农林路店）,奶茶果汁,2725,114.017509,22.5383,
1点点（创业南光路店）,奶茶果汁,4313,113.925138,22.516817,
1点点（创维半导体大厦店）,奶茶果汁,919,113.952859,22.537299,
1点点（华强乐淘里店）,奶茶果汁,983,114.086369,22.543171,
1点点（华新店）,奶茶果汁,842,114.0835,22.549629,
1点点（华润益田店）,奶茶果汁,757,114.05799,22.52326,
1点点（卓越城店）,奶茶果汁,2646,114.05957,22.566936,
1点点（南山地铁店）,奶茶果汁,426,113.92674,22.52299,
1点点（南岭金龙花园店）,奶茶果汁,3110,114.146821,22.618553,
1点点（固戍一路店）,奶茶果汁,2324,113.850149,22.598306,
1点点（地王店）,奶茶果汁,1526,114.110368,22.545325,
1点点（坂田地铁店）,奶茶果汁,4455,114.071021,22.62812,
1点点（大浪商业中心店）,奶茶果汁,3384,113.994871,22.674609,
1点点（学府路店）,奶茶果汁,1163,113.922683,22.527744,
1点点（宝体沃尔玛店）,奶茶果汁,1186,113.881433,22.561033,
1点点（宝华店）,奶茶果汁,948,113.886406,22.548851,
1点点（宝岗路店）,奶茶果汁,1097,114.111848,22.56735,
1点点（宝能科技园店）,奶茶果汁,2348,114.063477,22.67324,
1点点（岗厦店）,奶茶果汁,2395,114.067596,22.535926,
1点点（布吉佳兆业广场店),奶茶果汁,962,114.130276,22.606319,
1点点（平湖守珍街店）,奶茶果汁,3033,114.133019,22.696042,
1点点（建安一路店）,奶茶果汁,2344,113.905551,22.562337,
1点点（新洲二店）,奶茶果汁,696,114.046224,22.52365,
1点点（新洲吉之岛店）,奶茶果汁,1314,114.046868,22.521635,
1点点（晒布店）,奶茶果汁,1150,114.123002,22.549276,
1点点（桥头地铁店）,奶茶果汁,3500,113.810678,22.688594,
1点点（梅华店）,奶茶果汁,1206,114.055172,22.563509,
1点点（横岗大厦店）,奶茶果汁,1342,114.210242,22.644303,
1点点（民治水尾店）,奶茶果汁,837,114.038027,22.625369,
1点点（水围店）,奶茶果汁,2023,114.06259,22.520742,
1点点（汇海广场店）,奶茶果汁,1370,114.0275312,22.65838368,
1点点（沙尾店）,奶茶果汁,2467,114.039955,22.518757,
1点点（泥岗村店）,奶茶果汁,2016,114.098613,22.566257,
1点点（泰然四路店）,奶茶果汁,1227,114.027,22.534135,
1点点（海岸城店）,奶茶果汁,544,113.933673,22.518562,
1点点（海航城店）,奶茶果汁,3150,114.2676683,22.72402302,
1点点（清湖星光城店）,奶茶果汁,2720,114.03518,22.66421,
1点点（清湖硅谷大院店）,奶茶果汁,814,114.031703,22.665747,
1点点（燕南店）,奶茶果汁,1004,114.093238,22.545981,
1点点（田厦金牛广场店）,奶茶果汁,529,113.926755,22.532932,
1点点（石岩盛妆百货店）,奶茶果汁,2774,113.932597,22.677322,
1点点（石岩盛妆百货店）,奶茶果汁,2784,113.932597,22.677322,
1点点（福永政丰北路店）,奶茶果汁,4558,113.820823,22.672945,
1点点（福田地铁店）,奶茶果汁,790,114.053405,22.539103,
1点点（科兴科学园店）,奶茶果汁,3434,113.943552,22.548179,
1点点（罗岗路店）,奶茶果汁,1094,114.1287,22.592005,
1点点（翻身路店）,奶茶果汁,1759,113.895182,22.55971,
1点点（莲塘国威路店）,奶茶果汁,2368,114.170012,22.56421346,
1点点（蛇口招商路店）,奶茶果汁,3323,113.921405,22.48992,
1点点（蛇口网谷店）,奶茶果汁,571,113.917062,22.492499,
1点点（龙华公园店）,奶茶果汁,388,114.020013,22.657364,
1点点（龙华地铁店）,奶茶果汁,2322,114.023177,22.652729,
1／2tea 奶茶小吃(桥头店),奶茶果汁,0,113.810678,22.688594,
21st FOUREVER(伯乐广场店),奶茶果汁,81,113.823122,23.300763,
24節氣茶飲,奶茶果汁,23,113.901979,22.574288,
299意式咖啡(公明店),奶茶果汁,64,113.910217,22.782577,
326cafe(松岗店),奶茶果汁,24,113.827111,22.769517,
36度茶饮(石鼓店),奶茶果汁,50,114.102858,22.761056,
36度茶饮奶茶汉堡小吃(塘厦四村店),奶茶果汁,151,114.079429,22.799002,
36度茶饮奶茶汉堡小吃(塘厦四村店),奶茶果汁,153,114.079429,22.799002,
37度2茶屋,奶茶果汁,209,113.827034,23.28584,
37度奶茶,奶茶果汁,39,113.930143,22.486127,
38度6(西丽店),奶茶果汁,53,113.953091,22.57735,
38度6(西丽店),奶茶果汁,54,113.953091,22.57735,
45度C,奶茶果汁,78,113.907747,22.78081,
45度面包语茶(自由路店),奶茶果汁,14,113.88838,22.569996,
4S cafe,奶茶果汁,34,113.931222,22.548877,
4Scafe咖啡店(第三分店),奶茶果汁,42,113.984199,22.585753,
50岚,奶茶果汁,90,114.124923,22.574564,
50岚(万众城店),奶茶果汁,67,114.037788,22.637421,
50岚(会展中心店),奶茶果汁,46,114.055613,22.534866,
50岚(天利名城店),奶茶果汁,89,113.935069,22.518329,
50岚(欢城店),奶茶果汁,33,114.281543,22.737577,
50岚(龙华保利店),奶茶果汁,42,114.032158,22.669411,
50岚鲜茶专卖连锁(大芬店),奶茶果汁,1,114.13842,22.609871,
50岚（华新店）,奶茶果汁,51,114.084167,22.549252,
50岚（益田店）,奶茶果汁,144,114.050785,22.515213,
50岚（连城店）,奶茶果汁,55,114.066795,22.534772,
520一杯会告白的茶,奶茶果汁,51,113.928012,22.9294805,
520一杯会告白的茶,奶茶果汁,10,113.989072,22.689797,
520一杯会告白的茶,奶茶果汁,4,113.815521,23.10021,
520奶茶小吃店,奶茶果汁,39,113.816153,22.718038,
520奶茶店,奶茶果汁,53,114.23222,22.698594,
520茶屋,奶茶果汁,9,113.800419,22.758571,
5叶茶,奶茶果汁,43,113.944097,22.676535,
5叶茶,奶茶果汁,30,113.923432,22.646446,
5叶茶(中海怡翠店),奶茶果汁,19,114.11227,22.625527,
5叶茶(后亭店),奶茶果汁,28,113.82802,22.756356,
5叶茶(石岩塘头店),奶茶果汁,322,113.917038,22.65271,
5叶茶(罗租店),奶茶果汁,16,113.935444,22.672856,
5叶茶(罗租店),奶茶果汁,17,113.935444,22.672856,
6.1寿司小食饮品,奶茶果汁,1,113.847953,23.290812,
600里奶茶·手抓饼(西丽店),奶茶果汁,1855,113.953929,22.57448,
666Fruit Tea水果茶,奶茶果汁,23,113.900279,22.717933,
66DERTEA,奶茶果汁,3,113.948258,22.54552,
798奶茶屋,奶茶果汁,68,113.840322,22.762925,
798奶茶鲜榨果汁,奶茶果汁,671,113.910614,22.950752,
7度Ｃ(霞坑店),奶茶果汁,91,114.025313,22.966112,
7点茶饮(红木小镇店),奶茶果汁,193,113.910236,22.783592,
8090奶茶店,奶茶果汁,14,114.124038,22.594034,
8090奶茶店,奶茶果汁,45,114.138597,22.698721,
8090奶茶酷饮(任屋村店),奶茶果汁,90,114.117534,22.684745,
8090鲜萃茶,奶茶果汁,21,113.950562,22.557356,
8090鲜萃茶,奶茶果汁,80,113.95667,23.120221,
80夢饮家,奶茶果汁,1,113.908958,22.774505,
80茗茶,奶茶果汁,25,114.126801,22.600032,
813芭依姗 BAESAN（观澜湖MHmall店）,奶茶果汁,29,114.076271,22.72229,
813芭依珊 BAESAN(AT MALL店),奶茶果汁,86,114.013961,22.636115,
813芭依珊 BAESAN(东海缤纷店),奶茶果汁,125,114.019862,22.536334,
813芭依珊 BAESAN(中航九方店),奶茶果汁,216,114.082934,22.541658,
813芭依珊 BAESAN(十亩地店),奶茶果汁,64,114.022618,22.532843,
813芭依珊 BAESAN(壹方城店),奶茶果汁,75,113.887546,22.553502,
813芭依珊 BAESAN(天欣店),奶茶果汁,134,114.064363,22.568957,
813芭依珊 BAESAN(宝安书城店),奶茶果汁,72,113.828814,22.730691,
813芭依珊 BAESAN(欢乐影城店),奶茶果汁,15,113.992366,22.522733,
813芭依珊 BAESAN(欢乐海岸购物中心店),奶茶果汁,58,113.991488,22.5262,
813芭依珊 BAESAN(水围店),奶茶果汁,185,114.062095,22.51947,
813芭依珊 BAESAN(海雅缤纷店),奶茶果汁,56,113.906122,22.559663,
813芭依珊 BAESAN(百仕达花园店),奶茶果汁,120,114.134738,22.569061,
813芭依珊 BAESAN(西丽金谷店),奶茶果汁,93,113.974693,22.561485,
813芭依珊 BAESAN(龙岗数码城店),奶茶果汁,52,114.217631,22.722333,
813芭依珊 BAESAN（南洋店）,奶茶果汁,70,114.117485,22.540547,
813芭依珊 BAESAN（汇港店）,奶茶果汁,65,113.915999,22.485657,
813芭依珊 BAESAN（高北十六店）,奶茶果汁,67,113.9431409,22.55479393,
85度C(深南东路店SZ042),奶茶果汁,196,114.129477,22.543907,
85度C(深圳吉华路店SZ044),奶茶果汁,416,114.11774,22.59982,
85极致咖啡(乌沙大润发店),奶茶果汁,165,113.789485,22.780085,
85极致咖啡(长富西路店),奶茶果汁,174,113.914907,22.934104,
8号糖水,奶茶果汁,1,113.973832,22.559333,
9.9鲜果茶,奶茶果汁,212,113.823006,23.280917,
90度炭烧咖啡(格中阁饮品店),奶茶果汁,94,114.285207,23.169759,
95奶茶小吃(汇禾广场店),奶茶果汁,57,113.863604,23.127189,
95度休闲时光音乐茶吧,奶茶果汁,62,113.825026,22.806218,
9号茶,奶茶果汁,0,114.151432,22.605409,
ACE奶茶店,奶茶果汁,3,114.147545,22.60288,
AUGU3T八月茶饮(沙井店),奶茶果汁,110,113.798106,22.73494,
AURA,奶茶果汁,13,113.926752,22.549101,
Amigo,奶茶果汁,63,113.992036,22.982267,
BEEPLUS LIFESTYLE,奶茶果汁,55,114.063659,22.533615,
BEL-ZiMS 比利巧克力(壹方中心店),奶茶果汁,1,113.889566,22.551771,
BOBi波比&茶,奶茶果汁,37,113.99271,22.972201,
BOLE奶茶,奶茶果汁,4,113.898017,22.566737,
BUFF开黑的茶(深业上城店),奶茶果汁,3,114.070402,22.556785,
Bakerz180烘焙达人(世纪汇店),奶茶果汁,256,114.083854,22.541208,
Bakerz180烘焙达人(宝安中心店),奶茶果汁,105,113.888487,22.554434,
Bakerz180烘焙达人(益田假日广场店),奶茶果汁,157,113.974795,22.53778,
Bakerz180烘焙达人(竹子林店),奶茶果汁,216,114.013622,22.532811,
Bakerz180烘焙达人(连成新天地店),奶茶果汁,165,114.054172,22.534934,
Bakerz180烘焙达人（世界之窗店）,奶茶果汁,90,113.97336,22.536733,
Beatlemon喜乐柠檬茶(车公庙店),奶茶果汁,122,114.026664,22.534866,
Beauty Tea颐茶,奶茶果汁,36,113.805231,22.801816,
BeautyTea颐茶,奶茶果汁,1,113.976979,23.132575,
Beautytea颐茶,奶茶果汁,38,114.030856,22.651936,
Beautytea颐茶,奶茶果汁,39,114.030856,22.651936,
BiuBiuBiu(樟木头店),奶茶果汁,0,114.08839,22.915841,
Blano布兰诺奶茶(星河城店),奶茶果汁,0,113.798873,23.022405,
BlingHousebu咘冧小屋,奶茶果汁,0,113.891713,22.586785,
BoBo鸡水果捞,奶茶果汁,2,113.800603,22.729994,
Bon juice你好果汁,奶茶果汁,10,114.186312,22.636846,
Boy Friend轻食,奶茶果汁,0,113.996177,22.970697,
Bubble Bubble千季(小雪店),奶茶果汁,22,114.047238,22.524656,
B店天王星餐厅,奶茶果汁,145,114.116213,22.600508,
CC鲜榨果蔬吧(八号仓店),奶茶果汁,38,114.055208,22.618626,
CC鲜榨果蔬吧(卓悦汇店),奶茶果汁,25,114.060236,22.569489,
CC鲜榨果蔬吧(星河雅宝店),奶茶果汁,4,114.058859,22.603872,
CC鲜榨果蔬吧(金光华店),奶茶果汁,96,114.119954,22.539296,
CC鲜榨果蔬吧(龙华星河CoCoCity店),奶茶果汁,56,114.046219,22.602979,
CC鲜榨果蔬吧（保利广场店 ）,奶茶果汁,65,113.93757,22.51691,
CC鲜榨果蔬吧（华强茂业店）,奶茶果汁,61,114.086202,22.545763,
CC鲜榨果蔬吧（汇一城天虹店）,奶茶果汁,51,113.863254,22.575557,
CHESKEE芝士客,奶茶果汁,39,113.941988,22.574279,
COCOA可可茶,奶茶果汁,30,113.954909,22.577748,
COLMAR科尔马饮品店,奶茶果汁,5,113.924866,22.515889,
COLORFULWORKSHOP·奶茶果汁(深圳蛇口店),奶茶果汁,137,113.925614,22.487737,
CTEA初茶,奶茶果汁,53,114.110937,23.063039,
CTEA初茶(万润城店),奶茶果汁,130,114.129488,23.135875,
Chali茶里,奶茶果汁,1,113.94047,22.506851,
Choose Me食空制造(水围店),奶茶果汁,20,114.061741,22.519112,
ClipTea(东汇城店),奶茶果汁,149,113.819584,23.283452,
CoCo都可(366大街店),奶茶果汁,734,113.95127,22.581418,
CoCo都可(万科云城店),奶茶果汁,583,113.945567,22.574851,
CoCo都可(万科深南广场店),奶茶果汁,112,114.128948,22.544492,
CoCo都可(中科大厦店),奶茶果汁,436,113.952492,22.538388,
CoCo都可(中航店),奶茶果汁,583,114.082161,22.543953,
CoCo都可(佳宁娜友谊广场店),奶茶果汁,701,114.120162,22.536649,
CoCo都可(创业路店),奶茶果汁,1560,113.9243778,22.51697803,
CoCo都可(卓越后海店),奶茶果汁,150,113.943146,22.518972,
CoCo都可(南头店),奶茶果汁,396,113.918931,22.535524,
CoCo都可(大新店),奶茶果汁,500,113.91479,22.530734,
CoCo都可(大朗长盛店),奶茶果汁,915,113.929402,22.931137,
CoCo都可(太古城店),奶茶果汁,516,113.9391151,22.49934555,
CoCo都可(学府店),奶茶果汁,846,113.923228,22.527534,
CoCo都可(宝安海雅缤纷城店),奶茶果汁,635,113.905666,22.560949,
CoCo都可(寮步万润),奶茶果汁,461,113.878721,22.992804,
CoCo都可(建安一路店),奶茶果汁,552,113.905075,22.562447,
CoCo都可(桥头上悦汇),奶茶果汁,615,114.098318,23.018957,
CoCo都可(樟木头天一城店),奶茶果汁,228,114.065,22.911,
CoCo都可(樟木头天和店),奶茶果汁,226,114.067,22.905,
CoCo都可(水围一店),奶茶果汁,983,114.06459,22.52122,
CoCo都可(水贝国际商务中心店),奶茶果汁,566,114.12471,22.574612,
CoCo都可(海岸城店),奶茶果汁,562,113.937739,22.517976,
CoCo都可(深圳招商大厦店),奶茶果汁,602,113.922272,22.489919,
CoCo都可(深圳清湖店),奶茶果汁,740,114.036572,22.66236,
CoCo都可(深大西丽店),奶茶果汁,198,113.989067,22.597066,
CoCo都可(深职院店),奶茶果汁,114,113.949831,22.585039,
CoCo都可(清溪金泰丰店),奶茶果汁,325,114.168877,22.83771,
CoCo都可(生态园店),奶茶果汁,143,113.952696,22.530438,
CoCo都可(田贝店),奶茶果汁,825,114.126289,22.564997,
CoCo都可(白石洲店),奶茶果汁,816,113.966989,22.536491,
CoCo都可(石碣嘉荣店),奶茶果汁,612,113.815815,23.101856,
CoCo都可(石龙天和百货店),奶茶果汁,365,113.854471,23.108336,
CoCo都可(石龙星汇广场店),奶茶果汁,565,113.870761,23.108598,
CoCo都可(福安购物广场店),奶茶果汁,745,114.119702,22.584673,
CoCo都可(科兴科学园店),奶茶果汁,1239,113.94336,22.54898,
CoCo都可(红桂店),奶茶果汁,547,114.108353,22.55077,
CoCo都可(翻身天虹店),奶茶果汁,567,113.8965,22.55806,
CoCo都可(艺展店),奶茶果汁,855,114.108771,22.561277,
CoCo都可(茶山喜悦里店),奶茶果汁,341,113.878668,23.070269,
CoCo都可(西丽大学城店),奶茶果汁,597,113.968667,22.585551,
CoCo都可(西丽大学城店),奶茶果汁,617,113.968667,22.585551,
CoCo都可(银信广场店),奶茶果汁,1118,114.207618,22.646204,
CoCo都可(长安万达店),奶茶果汁,331,113.82164,22.80809,
CoCo都可(雅宝COCOPark店),奶茶果汁,572,114.059585,22.60469,
CoCo都可(黄江星光城店),奶茶果汁,767,114.013294,22.915844,
CoCo都可(龙华COCOCity店),奶茶果汁,874,114.046104,22.602676,
CoCo都可（下梅林店）,奶茶果汁,1286,114.0451932,22.56682165,
CoCo都可（东大门店）,奶茶果汁,810,114.118766,22.543604,
CoCo都可（东湖店）,奶茶果汁,570,114.1424777,22.5780195,
CoCo都可（京基KKONE店）,奶茶果汁,660,114.026881,22.528461,
CoCo都可（兴湖店）,奶茶果汁,184,114.122657,22.548336,
CoCo都可（常平時代店）,奶茶果汁,694,113.995,22.975,
CoCo都可（广富百货店）,奶茶果汁,243,114.238473,22.557983,
CoCo都可（横岗天虹店）,奶茶果汁,577,114.211251,22.64928,
CoCo都可（泰然一店）,奶茶果汁,306,114.02562,22.532673,
CoCo都可（海上世界店）,奶茶果汁,233,113.917735,22.482998,
CoCo都可（深圳宝安中心）,奶茶果汁,709,113.888604,22.554716,
CoCo都可（深圳福田区丰盛町一店）,奶茶果汁,1015,114.02442,22.53553,
CoCo都可（深大南校区店),奶茶果汁,446,113.94231,22.530762,
CoCo都可（湖贝店）,奶茶果汁,404,114.12516,22.54321,
CoCo都可（田心村店),奶茶果汁,579,114.11297,22.56718,
CoCo都可（茂业深南店）,奶茶果汁,579,114.092709,22.541017,
CoCo都可（荣津乐活城店),奶茶果汁,317,114.23219,22.55073,
CoCo都可（莲塘华润店）,奶茶果汁,826,114.168859,22.563389,
CoCo都可（蓝郡左岸店）,奶茶果汁,180,114.237116,22.552057,
CoCo都可（黄贝岭店）,奶茶果汁,1095,114.133227,22.54704,
CoCo都可（龙岗cocopark店）,奶茶果汁,848,114.229068,22.690995,
Coco台湾手抓饼(岗厦店),奶茶果汁,40,114.070201,22.537428,
Come Coffee Tea(金叶华府店),奶茶果汁,17,113.865233,23.138723,
ComeCoffee(大朗店),奶茶果汁,157,113.935596,22.928095,
Crown Terw 皇茶,奶茶果汁,52,114.101067,22.81334,
CrownCake·皇冠蛋糕,奶茶果汁,13,113.919079,22.582406,
CrownCake·皇冠蛋糕,奶茶果汁,14,113.919079,22.582406,
Crowntea薡御皇茶,奶茶果汁,27,114.0195145,22.65353481,
C位·TEA,奶茶果汁,12,113.984572,22.690072,
C味茶道,奶茶果汁,11,113.99857,22.672916,
C引C饮港式奶茶屋,奶茶果汁,36,113.925646,22.968114,
C杯手工烘焙,奶茶果汁,390,113.934015,22.526855,
C酷饮品,奶茶果汁,20,113.82123,23.034543,
DAKASI大卡司,奶茶果汁,0,113.910846,22.573951,
DAKASI大卡司(西乡步行街店),奶茶果汁,50,113.87991,22.57533,
DM恋上榴莲,奶茶果汁,4,114.120066,22.547081,
DQ(深圳海雅缤纷城店),奶茶果汁,211,113.9057338,22.55931473,
DQ(深圳龙华九方购物中心店),奶茶果汁,279,114.0209513,22.62707276,
DQ(深圳龙岗万科广场店),奶茶果汁,115,114.243144,22.713389,
DQ（深圳东海缤纷天地店）,奶茶果汁,229,114.021772,22.536333,
DUDIAN都点,奶茶果汁,28,113.815377,22.702051,
DarNing哒柠,奶茶果汁,135,113.83159,22.910887,
DeDe茶饮,奶茶果汁,4,114.231058,22.676712,
Double Tea,奶茶果汁,867,113.92334,22.556445,
EASYTEA浅浅茶,奶茶果汁,81,113.938945,22.935504,
ELPPA单茶(坪洲店),奶茶果汁,41,113.871298,22.568012,
Elora伊萝拉(华富洋店),奶茶果汁,42,113.94157,22.541245,
Energytea茶稻谷,奶茶果汁,0,113.82662,23.036019,
Energytea茶稻谷,奶茶果汁,0,113.886965,22.791252,
Escape逸杯咖啡语茶(后瑞店),奶茶果汁,69,113.83567,22.629782,
Escape逸杯咖啡语茶(后瑞店),奶茶果汁,71,113.83567,22.629782,
E杯好茶,奶茶果汁,11,114.040046,22.611711,
E杯好茶EECUP(储能店),奶茶果汁,1,113.944838,22.537842,
FANCY FRUIT (万象天地店),奶茶果汁,11,113.956122,22.541993,
FANCY FRUIT(深业上城店),奶茶果汁,10,114.06932,22.55802,
FF奶茶,奶茶果汁,40,113.873746,22.578289,
FIZZ奶茶小吃(横岗店),奶茶果汁,22,114.190378,22.638951,
FLAMENGO（火鸟果汁）,奶茶果汁,13,114.059671,22.569621,
Federa飞德拉甜品(蛇口店),奶茶果汁,7,113.926893,22.485249,
Fruitilla果提拉,奶茶果汁,16,113.915756,22.4855,
Fully World品质奶茶,奶茶果汁,55,114.139359,22.547951,
GEEK.怪咖奶茶店,奶茶果汁,85,113.883482,22.778863,
GS饮品店,奶茶果汁,3,113.798333,22.755126,
GUANCHA惯茶（观澜店）,奶茶果汁,154,114.062597,22.723691,
GoodTea,奶茶果汁,626,113.886958,22.987849,
GoodTea(上屯店),奶茶果汁,931,113.831203,23.008033,
G港茶饮,奶茶果汁,139,113.827119,23.29995,
H2O2 COFFEE,奶茶果汁,4,113.927848,22.52925,
HAIYAN冰粉儿(西丽店),奶茶果汁,94,113.9517,22.581137,
HEERETEA東喜(时代城店),奶茶果汁,42,113.86827,22.566446,
HEERETEA東喜(龙岗店),奶茶果汁,38,114.269362,22.729112,
HEERETHA東喜,奶茶果汁,0,113.859201,23.118164,
HEIの茶荟(沙井店),奶茶果汁,40,113.823315,22.733759,
HOOTEA禾杯·鲜果水果茶·奶茶·小吃,奶茶果汁,57,113.886475,22.579994,
HUN混果汁(COCOPark店),奶茶果汁,347,114.053773,22.533086,
HUN混果汁(东海店),奶茶果汁,541,114.02034,22.536802,
HUN混果汁(中心书城店),奶茶果汁,281,114.059854,22.546959,
HUN混果汁(中心城店),奶茶果汁,172,114.058926,22.535819,
HUN混果汁(中心城店),奶茶果汁,178,114.058926,22.535819,
HUN混果汁(卓悦intown店),奶茶果汁,591,114.064749,22.531903,
HUN混果汁(卓悦汇店),奶茶果汁,495,114.060236,22.570444,
HUN混果汁(印力中心店),奶茶果汁,511,114.01222,22.544744,
HUN混果汁(喜荟城店),奶茶果汁,717,114.13957,22.568634,
HUN混果汁(益田假日广场店),奶茶果汁,459,113.975463,22.536931,
HUN混果汁(福田科技寺店),奶茶果汁,65,114.035906,22.526199,
Happinessoftea幸福里,奶茶果汁,64,114.062881,22.627327,
Hey！你的酸奶·健康低卡酸奶,奶茶果汁,119,113.952482,22.535131,
Hi.TEA茶屋(石湾店),奶茶果汁,15,113.861787,23.123368,
Hitea茶室(荔兴路店),奶茶果汁,50,113.826537,23.28756,
Hi果果(锦绣广场店),奶茶果汁,0,113.811392,23.286801,
Holdone,奶茶果汁,7,113.880333,22.993677,
Home烘屋奶茶小吃,奶茶果汁,43,114.103223,23.020056,
Honey茶饮店,奶茶果汁,9,113.992782,22.975861,
IF Cha 一夫茶,奶茶果汁,1,114.0221,22.710659,
IFCha一夫茶,奶茶果汁,4,114.038128,22.637315,
IFOURI141奶茶店,奶茶果汁,16,114.108255,22.620509,
IM茶,奶茶果汁,52,113.841983,22.71911,
IM茶,奶茶果汁,2863,114.062424,22.620561,
IM茶,奶茶果汁,1,113.970077,23.124401,
IM茶(公明天虹店),奶茶果汁,170,113.89561,22.781561,
IM茶(科技园店),奶茶果汁,60,113.951408,22.541645,
IM茶(科苑店),奶茶果汁,70,113.95066,22.556883,
IM茶(顺平大厦店),奶茶果汁,7,114.112853,22.694271,
INKCAFE,奶茶果汁,2,113.912362,22.519355,
IceTEA茶室(轻工大厦店),奶茶果汁,495,114.131788,22.550806,
IceTEA茶室(轻工大厦店),奶茶果汁,511,114.131788,22.550806,
JK KOKO·鲜榨果汁(东莞店),奶茶果汁,37,113.870773,23.108627,
Jayden Coffee,奶茶果汁,68,113.876721,23.106809,
JulyTea柒玥茶(万科店),奶茶果汁,92,113.806418,22.807478,
