店铺名字,类别,纬度,经度
TVB港式奶茶,奶茶/果汁,23.12576,113.264989
大卡司（海珠广场店）,奶茶/果汁,23.115376,113.264856
独品Addicted Lab（光明广场店）,咖啡厅,23.122256,113.267357
猫住hide&seek·猫咖生活馆,咖啡厅,23.12086,113.312753
猫屎咖啡（淘金店）,咖啡厅,23.139238,113.287559
贡茶（广州电影院店）,奶茶/果汁,23.10839,113.25447
HUNCHA（东山口店）,咖啡厅,23.117527,113.298307
旭饮·楼下,奶茶/果汁,23.126891,113.314632
小确茶（东川路店）,奶茶/果汁,23.12108,113.286241
午潼NGTONE（北京路店）,饮品店,23.121547,113.267177
COFFEEYAN LAB,咖啡厅,23.127652,113.294026
COMEBUY甘杯（动漫星城店）,奶茶/果汁,23.125783,113.264996
禧御贡茶（北京路禺山店）,奶茶/果汁,23.12177,113.26928
芮拉咖啡LA CAFFERIA（汇华店）,咖啡厅,23.136464,113.295467
COVITA乐啡塔咖啡（北京路店）,咖啡厅,23.122664,113.265853
希尔顿逸林酒店—大堂茶廊Canton Lounge,咖啡厅,23.131283,113.271135
帝芬诺咖啡厅（东方文德广场店）,咖啡厅,23.12268,113.272125
NCB CITY·手游主题餐吧,奶茶/果汁,23.126724,113.273794
Godiva（丽柏广场店）,冰淇淋,23.13774,113.286536
巴芙臻茶（五羊店）,奶茶/果汁,23.118584,113.314438
黎恩凉茶（仁济路店）,凉茶,23.110592,113.255301
Lost in L.A.西式简餐（越秀店）,咖啡厅,23.119504,113.285691
she x inn（粤海仰忠汇店）,咖啡厅,23.119607,113.270033
满客贡茶（人民南路店）,奶茶/果汁,23.10945,113.25375
黎恩凉茶（教育路店）,凉茶,23.124215,113.265877
TEA DIVA茶饮,奶茶/果汁,23.119566,113.269996
乌煎道黑龙茶（北京路店）,奶茶/果汁,23.125436,113.268586
全民果汁（光明广场店）,奶茶/果汁,23.122419,113.267313
關人茶事（江湾分店）,饮品店,23.115493,113.278727
爱音乐咖啡,咖啡厅,23.124523,113.293736
象哩哩·水果咖啡（中华广场店）,咖啡厅,23.126628,113.28252
黎恩凉茶（人民南路店）,凉茶,23.112781,113.253679
乜都掂,奶茶/果汁,23.125881,113.263781
肆只番鸭,奶茶/果汁,23.14242,113.288618
TOOBE,咖啡厅,23.115883,113.273025
蓝藻咖啡艺术荟,咖啡厅,23.121516,113.291751
逢此FOX·四阅咖啡,咖啡厅,23.114485,113.288057
kristo coffee,咖啡厅,23.13043,113.278864
DAILYCRAFT 日照工场,咖啡厅,23.115998,113.313569
汁冷汁热糖水甜品（中山六路店）,饮品店,23.125246,113.259017
BIG KONG TEA BANK（粤海仰忠汇店）,奶茶/果汁,23.120446,113.269255
YO.BA优芭?手工酸奶卷,冰淇淋,23.125903,113.265717
果实轻饮食（羊城同创汇店）,奶茶/果汁,23.131867,113.301317
Kilig Coffee 空中咖啡,咖啡厅,23.12552,113.28259
Freeing LEMON TEA·柠舍自在（西门口店）,奶茶/果汁,23.12449,113.256233
新作の茶 SUN TEA（大沙头店）,奶茶/果汁,23.117116,113.285912
双子星宠物公馆.猫主题cafe,咖啡厅,23.122693,113.27013
鹿野星茶（公园前店）,奶茶/果汁,23.125751,113.266409
潜梦咖啡Diving Dream Cafe,咖啡厅,23.120215,113.269071
黄振龙凉茶（华侨中学店）,凉茶,23.121676,113.264062
27咖啡·coffee Space（较场东路店）,奶茶/果汁,23.123289,113.284842
茶颜观色·新中式鲜茶（越秀店）,奶茶/果汁,23.116938,113.28612
1314茶（淘金店）,奶茶/果汁,23.139694,113.28833
Game too,奶茶/果汁,23.11658,113.309894
A+咖啡,咖啡厅,23.133837,113.282698
馨园·喜遇东山,咖啡厅,23.118566,113.295741
库玛茶KOOMATEA（北京路店）,奶茶/果汁,23.12318,113.26692
Royaltea皇茶（光明广场星汇店）,奶茶/果汁,23.122181,113.26735
捌玖茶档,奶茶/果汁,23.13268,113.246336
TOMYORK咖啡店,咖啡厅,23.142386,113.296522
共乐咖啡,咖啡厅,23.137579,113.289645
原創茶室Original,饮品店,23.11382,113.260279
CUPWORLD咖啡厅（东湖总店）,咖啡厅,23.118305,113.288819
乌煎道黑龙茶,奶茶/果汁,23.13379,113.270036
旺角道（光明广场店）,奶茶/果汁,23.122454,113.267242
New Fruity新果味（海印店）,奶茶/果汁,23.115854,113.285685
丹品咖啡时尚餐厅,咖啡厅,23.14707,113.25476
青年冶炼Cafe&Gallery,咖啡厅,23.135229,113.280837
大卡司DAKASI（北京路天河城店）,奶茶/果汁,23.12256,113.270114
IM茶（东山口店）,奶茶/果汁,23.121511,113.295684
Take（西华路店）,奶茶/果汁,23.12971,113.2515
龙卷峰,奶茶/果汁,23.119844,113.30192
HI TEA 茶室（流行前线店）,奶茶/果汁,23.126676,113.283453
SIMTRET COFFEE清萃咖啡,咖啡厅,23.127682,113.248092
Blue Hawaii  Coffee,咖啡厅,23.125731,113.283528
馨园·XIN VILLA,咖啡厅,23.119009,113.295071
小狮·法式甜品,咖啡厅,23.126384,113.312659
Thai tea（泰茶茶饮研究所）,奶茶/果汁,23.121167,113.260585
itgo意高手工鲜雪糕（北京路店）,冰淇淋,23.124406,113.269018
大口九,奶茶/果汁,23.15551,113.29672
大卡司（动漫星城二店）,奶茶/果汁,23.125761,113.26499
续杯AND·ONE,奶茶/果汁,23.126194,113.31266
Teazen Caoffee 醍神咖啡吧,咖啡厅,23.149029,113.25066
CHOIS COFFEE（世贸店）,咖啡厅,23.14614,113.2531
渌禄渌茶lucky luk,奶茶/果汁,23.126793,113.272401
Lazy cat cafe猫主义,咖啡厅,23.12765,113.25071
LA CAFFERIA（万菱店）,咖啡厅,23.114598,113.262602
coffeelin,咖啡厅,23.125222,113.269832
老蓮茶檔,奶茶/果汁,23.120672,113.314689
联合书店UN Bookcafe,咖啡厅,23.124874,113.269049
出猫喵咪生活馆,奶茶/果汁,23.120663,113.256638
NAP Cafe,咖啡厅,23.121896,113.268421
德仙草鲜榨灵芝（中山六路店）,奶茶/果汁,23.124867,113.254903
Amber Village桉柏园,奶茶/果汁,23.121275,113.268051
苏阁鲜茶（动漫星城店）,奶茶/果汁,23.125805,113.263782
粉摩登咖啡Funmodern Coffee,咖啡厅,23.119601,113.270047
1314一杯会说话的茶,奶茶/果汁,23.119414,113.308627
Partea劈茶（农讲所店）,饮品店,23.125526,113.274816
一叶四季,奶茶/果汁,23.12714,113.276847
MacyBabyCat豹猫猫咖,咖啡厅,23.122714,113.270114
LEECHA立茶,奶茶/果汁,23.125934,113.265811
ALS GONGCHA阿里山贡茶（圣心大教堂店）,奶茶/果汁,23.11368,113.2603
HiTea茶室（区庄店）,奶茶/果汁,23.134215,113.295268
钰记,奶茶/果汁,23.12278,113.27317
the ATTIC小阁楼,咖啡厅,23.12004,113.27289
T-HUT茶栈,奶茶/果汁,23.121201,113.266741
coffee cat,咖啡厅,23.140204,113.289068
有趣咖啡,咖啡厅,23.121508,113.284038
Tealeer茶来乐,奶茶/果汁,23.116743,113.314545
惯茶,奶茶/果汁,23.125346,113.264081
Sigma Coffee·轼马咖啡,咖啡厅,23.122136,113.29374
244coffee （越秀店）,咖啡厅,23.139614,113.286283
鹿角巷THE ALLEY（文明路店）,奶茶/果汁,23.121051,113.2697
忆间Cafe & Bar,咖啡厅,23.117011,113.29811
15%,饮品店,23.119715,113.294033
急急脚?啡公司,咖啡厅,23.122004,113.292031
鸣稀奇·精品茶饮,奶茶/果汁,23.119685,113.296554
宠幸吧Happiness Pet,咖啡厅,23.123036,113.262059
看星星的熊,奶茶/果汁,23.116534,113.261546
happy pub,咖啡厅,23.142716,113.288004
一号花园,咖啡厅,23.122644,113.295231
top one拓运茶研所,奶茶/果汁,23.12369,113.286138
奉食煮义,饮品店,23.125918,113.282599
ENDORPHINS·咖啡·清吧,咖啡厅,23.128536,113.255122
take（中华广场店）,饮品店,23.12563,113.282187
Little Planet,饮品店,23.125812,113.283722
嘻饮力,奶茶/果汁,23.12577,113.28349
琉璃鲸（地王广场店）,奶茶/果汁,23.12577,113.28348
亞當咖啡,咖啡厅,23.122166,113.282323
La Boca,饮品店,23.136147,113.288209
珍煮港（小北店）,奶茶/果汁,23.13627,113.27237
cattoon·本地猫咖啡馆,咖啡厅,23.117672,113.278729
Timing Cafe（越秀店）,咖啡厅,23.127265,113.266715
无牌咖啡SignlessCAFE&精酿啤酒,咖啡厅,23.124368,113.26373
Combination Tea组合茶室,饮品店,23.129619,113.252316
新作的茶SUN TEA（百灵路店）,奶茶/果汁,23.130994,113.261286
茗友轩茶庄,饮品店,23.12172,113.28678
一雪糕（北京路店）,冰淇淋,23.12584,113.268699
茶千岁（应元路店）,奶茶/果汁,23.134958,113.26919
吃货皇（北京路旗舰店）,奶茶/果汁,23.124519,113.269181
BEIGE（艺都店）,奶茶/果汁,23.114388,113.268705
EnCha恩茶,奶茶/果汁,23.133689,113.261628
友喜茶档,奶茶/果汁,23.117963,113.270371
甜不甜·颜控精粹茶屋（越秀公园店）,奶茶/果汁,23.13836,113.26206
女王茶（北京路店）,奶茶/果汁,23.122464,113.270943
moca+diy,咖啡厅,23.121399,113.271357
午安咖啡 Snoozing Coffee,咖啡厅,23.11626,113.274066
趣烤茶,奶茶/果汁,23.125746,113.265972
果间店THESHOP,奶茶/果汁,23.111926,113.259146
台湾阿里山贡茶（天马美食城店）,奶茶/果汁,23.147625,113.253816
老虎堂黑糖专壳,奶茶/果汁,23.130338,113.250884
甜酸椰椰,奶茶/果汁,23.125435,113.281942
甜甜雪糕屋·自家制,冰淇淋,23.122873,113.275945
anchorage豆匠咖啡,咖啡厅,23.13014,113.263174
1314茶（百灵路店）,奶茶/果汁,23.130554,113.2593
小由制茶（南方大厦店）,奶茶/果汁,23.108081,113.252393
拆咖啡 rich coffee,咖啡厅,23.123632,113.258261
荔园,奶茶/果汁,23.130126,113.253133
茶的蜜次方,奶茶/果汁,23.123107,113.267181
茶房·Tearoom,奶茶/果汁,23.135688,113.270767
御茶（小北店）,奶茶/果汁,23.132523,113.271644
恋茶派对,奶茶/果汁,23.12524,113.263949
镜像咖啡（东风西分店）,咖啡厅,23.132862,113.250784
一芳台湾水果茶（北京路店）,奶茶/果汁,23.121137,113.266761
乌叶饮品店（小北店）,奶茶/果汁,23.144366,113.274624
1314茶,奶茶/果汁,23.117958,113.264071
PRO Tea,奶茶/果汁,23.123509,113.273489
随点甜品简餐（三元里店）,饮品店,23.148694,113.261916
红番区炸鸡茶饮,奶茶/果汁,23.14746,113.253973
遇见你休闲吧,奶茶/果汁,23.147352,113.253679
鲜果味（汇美店）,奶茶/果汁,23.148474,113.250297
漫雪的茶,奶茶/果汁,23.146646,113.254722
鹿角巷THE ALLEY（北京路店）,奶茶/果汁,23.124223,113.265865
蓝茶,奶茶/果汁,23.150237,113.249068
鹿角巷THE ALLEY,奶茶/果汁,23.124596,113.269081
鲜果味（新亚洲电子城店）,奶茶/果汁,23.108834,113.253191
书亦烧仙草（五山店）,奶茶/果汁,23.152396,113.35244
CoCo都可（五山店）,奶茶/果汁,23.152334,113.352497
芭克·闪冰（（天河城2店））,冰淇淋,23.132895,113.322855
TANING挞柠·匠心柠檬茶（中元广场店）,奶茶/果汁,23.170426,113.340747
特思乐TastyLife（五山店）,奶茶/果汁,23.152305,113.353912
Hi.TEA茶室（五山店）,奶茶/果汁,23.151079,113.353827
禧御贡茶（长兴里店）,奶茶/果汁,23.167407,113.353012
CoffeeFORU 旧雨咖啡,咖啡厅,23.13227,113.42021
1柠1柠檬茶（华师曜一城店）,奶茶/果汁,23.141806,113.342968
王子拉茶（长兴店）,奶茶/果汁,23.170316,113.347529
蜜雪の约,奶茶/果汁,23.17253,113.342164
书亦烧仙草（华师店）,奶茶/果汁,23.140544,113.34579
咖法森林·咖啡吧·轻酒吧,咖啡厅,23.14409,113.32965
CoCo都可（华景店）,奶茶/果汁,23.136581,113.358242
蜜雪冰城（华师科技大楼店）,冰淇淋,23.142021,113.346198
新作的茶SUN TEA（东莞庄店）,奶茶/果汁,23.151987,113.336428
快乐柠檬（广州植物园站店）,奶茶/果汁,23.191411,113.366119
COFFii&JOY咖啡（寺右公馆店）,咖啡厅,23.116287,113.317208
厝内小眷村（龍洞店）,奶茶/果汁,23.195411,113.365825
蜜雪冰城（棠下店）,冰淇淋,23.134834,113.368264
TANING挞柠·匠心柠檬茶（华景新城店）,奶茶/果汁,23.137455,113.358337
CoCo都可（华师店）,奶茶/果汁,23.14037,113.34567
Old Fashioned古典酒廊（大剧院店）,咖啡厅,23.114846,113.323243
蜜雪冰城（迎龙大道店）,奶茶/果汁,23.19289,113.366256
CoCo都可（远洋天骄店）,奶茶/果汁,23.174802,113.336741
TANING挞柠·匠心柠檬茶（华师店）,奶茶/果汁,23.140561,113.345946
CoCo都可（上社学院店）,奶茶/果汁,23.132522,113.372853
COFFii&JOY咖啡（高德春店）,咖啡厅,23.119966,113.322062
贡茶（肆季好长湴店）,奶茶/果汁,23.170812,113.350264
CoCo都可（燕塘店）,奶茶/果汁,23.160529,113.327781
TANING挞柠·匠心柠檬茶（石牌东店）,奶茶/果汁,23.129965,113.34294
19TEA加料王（元岗店）,奶茶/果汁,23.171391,113.338353
montea檬茶（天河南店）,奶茶/果汁,23.130118,113.324268
CoCo都可（金田百佳店）,奶茶/果汁,23.14191,113.335354
TANING挞柠（东方宝泰店）,奶茶/果汁,23.147479,113.324753
PICKme咬我（曜一城店）,奶茶/果汁,23.141907,113.343974
TANING挞柠·匠心柠檬茶（万科店）,奶茶/果汁,23.166908,113.404473
TANING挞柠（棠石路店）,奶茶/果汁,23.123892,113.368694
顾小蛮奶茶实验室·手炒黑糖牛油果鲜奶（正佳店）,奶茶/果汁,23.132592,113.327047
TANING挞柠·匠心柠檬茶（丰兴广场店）,奶茶/果汁,23.132714,113.333277
CoCo都可（石牌东店）,奶茶/果汁,23.134724,113.342679
TANING挞柠·匠心柠檬茶（棠下店）,奶茶/果汁,23.125989,113.381028
TANING挞柠·匠心柠檬茶（柯木塱店）,奶茶/果汁,23.192442,113.395441
良品黑糖?黑糖主题茶饮（太阳新天地店）,奶茶/果汁,23.123512,113.343992
CoCo都可（天娱广场店）,奶茶/果汁,23.135646,113.340038
新作的茶SUN TEA（岗顶店）,奶茶/果汁,23.134563,113.339431
爱の茶AMORTEA （上社店）,奶茶/果汁,23.132618,113.366452
不一样书式咖啡BookCafe,咖啡厅,23.130824,113.325723
蜜雪冰城（环村南街店）,冰淇淋,23.195805,113.365469
伯爵冰茶（时尚天河店）,奶茶/果汁,23.134552,113.322283
TANING挞柠·匠心柠檬茶（时尚天河店）,奶茶/果汁,23.133959,113.325165
一只酸奶牛（天河南一路店）,饮品店,23.130926,113.32466
D&W·茶饮&甜品,饮品店,23.197665,113.364549
大卡司DAKASI（正佳店）,奶茶/果汁,23.13229,113.326921
青沫茶颜（岗顶店）,奶茶/果汁,23.133319,113.338316
雕刻时光咖啡馆（五山店）,咖啡厅,23.152188,113.354051
蜜雪冰城（陶育路店）,冰淇淋,23.128216,113.344709
米芝莲（百脑汇店）,饮品店,23.13445,113.33925
大卡司（时尚天河一店）,奶茶/果汁,23.13405,113.32525
蜜雪冰城（棠东店）,冰淇淋,23.12683,113.38313
新作的茶SUN TEA（棠下棠东店）,奶茶/果汁,23.125982,113.382427
CoCo都可（龙洞店）,奶茶/果汁,23.195215,113.366005
嘻饮力（时尚天河店）,饮品店,23.133976,113.326873
TANING挞柠·匠心柠檬茶（潭村店）,奶茶/果汁,23.116938,113.344243
一点闲·茶饮休闲（体育西旗舰店）,奶茶/果汁,23.130459,113.322866
芝士茶馆（华师店）,奶茶/果汁,23.139353,113.344349
大卡司（花城汇店）,奶茶/果汁,23.124981,113.325106
小确茶（上社店）,奶茶/果汁,23.132569,113.36662
澜庭坊·纯手工饮品,奶茶/果汁,23.194656,113.365403
CoCo都可（石牌西店）,奶茶/果汁,23.13364,113.338085
HITEA茶室（石牌东店）,奶茶/果汁,23.129755,113.344619
CoCo都可（永旺宝泰店）,奶茶/果汁,23.147727,113.324749
BD·梦里南柯婚纱下午茶,奶茶/果汁,23.132645,113.32617
藏在胡同里的猫,奶茶/果汁,23.169127,113.349063
TANING挞柠·柠檬茶（维家思广场店）,奶茶/果汁,23.125386,113.326554
CoCo都可（棠石店）,奶茶/果汁,23.12455,113.36966
哈哈哈哈茶饮品牌,奶茶/果汁,23.131036,113.325528
Beeplus（IFC国际金融中心店）,咖啡厅,23.117847,113.323369
TANING挞柠·匠心柠檬茶（车陂店）,奶茶/果汁,23.124767,113.396153
Met soda·一杯属于你的水果茶,奶茶/果汁,23.126088,113.339369
TANING挞柠·匠心柠檬茶（花城汇中区旗舰店）,奶茶/果汁,23.120572,113.324214
CoCo都可（石牌桥店）,奶茶/果汁,23.13279,113.33231
喬越名品Cafe Fashion,咖啡厅,23.122295,113.344114
茶理宜世（东方宝泰江山店）,奶茶/果汁,23.148675,113.324705
茶太,奶茶/果汁,23.161622,113.383465
